time (us), GPS_numSat, GPS_coord[0], GPS_coord[1], GPS_altitude, GPS_speed (m/s), GPS_ground_course
220156159, 15, 29.8132279, -95.7820625, 369, 0.08, 0.0
220209259, 16, 29.8132279, -95.7820625, 369, 0.08, 0.0
220239185, 16, 29.8132278, -95.7820626, 369, 0.07, 0.0
220409386, 16, 29.8132277, -95.7820627, 369, 0.07, 0.0
220809702, 16, 29.8132277, -95.7820626, 368, 0.11, 0.0
221010134, 16, 29.8132277, -95.7820628, 368, 0.03, 0.0
221230185, 16, 29.8132276, -95.7820630, 368, 0.09, 0.0
221410384, 16, 29.8132277, -95.7820632, 368, 0.09, 0.0
221610389, 16, 29.8132277, -95.7820633, 368, 0.03, 0.0
221810509, 16, 29.8132277, -95.7820635, 368, 0.02, 0.0
222010634, 16, 29.8132278, -95.7820635, 368, 0.06, 0.0
222230761, 16, 29.8132280, -95.7820635, 368, 0.06, 0.0
222410762, 16, 29.8132282, -95.7820633, 367, 0.14, 0.0
222610761, 16, 29.8132284, -95.7820632, 367, 0.10, 0.0
223011010, 16, 29.8132285, -95.7820631, 366, 0.00, 0.0
223231063, 16, 29.8132287, -95.7820630, 366, 0.00, 0.0
223411384, 16, 29.8132288, -95.7820631, 366, 0.05, 0.0
223612259, 16, 29.8132289, -95.7820632, 366, 0.03, 0.0
223812885, 16, 29.8132290, -95.7820634, 366, 0.07, 0.0
224013635, 16, 29.8132292, -95.7820635, 366, 0.06, 0.0
224234283, 16, 29.8132296, -95.7820634, 367, 0.36, 0.0
224414510, 16, 29.8132310, -95.7820639, 369, 0.94, 348.6
224614526, 16, 29.8132335, -95.7820645, 371, 1.68, 351.1
224814760, 16, 29.8132372, -95.7820649, 373, 2.48, 355.5
225004885, 16, 29.8132423, -95.7820653, 376, 2.48, 355.5
225225509, 16, 29.8132479, -95.7820657, 377, 2.91, 358.5
225406168, 16, 29.8132546, -95.7820663, 378, 3.23, 356.6
225607134, 16, 29.8132627, -95.7820671, 378, 4.84, 355.3
225807260, 16, 29.8132721, -95.7820686, 379, 5.51, 353.3
226007510, 16, 29.8132826, -95.7820698, 379, 6.22, 352.9
226227634, 16, 29.8132940, -95.7820719, 380, 6.22, 352.9
226407902, 16, 29.8133068, -95.7820758, 382, 7.66, 346.4
226608509, 16, 29.8133203, -95.7820811, 386, 8.04, 338.7
